username1,password123,1,user1@example.com,CSC207+MAT237+CSC343+MAT246+MAT337
username2,password456,2,user2@example.com,CSC108+MAT135+CSC148+MAT224+STA247
FakeKelly,password789,3,Kelly2025@gmail.com,CSC209+MAT136+CSC258+MAT223+STA256
testuser,123456,123,123@gmail.com,STA130+STA347+STA457+STA400+STA365
username4,password444,4,user4@example.com,STA288+STA302+STA198+CSC302+STA399
username5,password555,5,user5@example.com,STA299+CSC309+STA220+STA414+STA355
username6,password666,6,user6@example.com,STA314+STA304+CSC110+CSC196+STA201
username7,password777,7,user7@example.com,STA304+CSC300+STA130+STA199+CSC197
username8,password888,8,user8@example.com,STA314+STA237+STA303+CSC165+STA304
username9,password999,9,user9@example.com,STA255+CSC310+STA447+STA313+STA248
username10,password1110,10,user10@example.com,STA130+STA465+STA237+STA347+CSC310
newUser,newPass,new@example.com,2,
